race_id,year,round,circuit_id
0,1950,1,8
1,1950,2,5
2,1950,3,18
3,1950,4,65
4,1950,5,12
5,1950,6,54
6,1950,7,13
7,1951,1,65
8,1951,2,18
9,1951,3,12
10,1951,4,54
11,1951,5,8
12,1951,6,19
13,1951,7,13
14,1951,8,66
15,1952,1,65
16,1952,2,18
17,1952,3,12
18,1952,4,52
19,1952,5,8
20,1952,6,19
21,1952,7,38
22,1952,8,13
23,1953,1,24
24,1953,2,18
25,1953,3,38
26,1953,4,12
27,1953,5,54
28,1953,6,8
29,1953,7,19
30,1953,8,65
31,1953,9,13
32,1954,1,24
33,1954,2,18
34,1954,3,12
35,1954,4,54
36,1954,5,8
37,1954,6,19
38,1954,7,65
39,1954,8,13
40,1954,9,66
41,1955,1,24
42,1955,2,5
43,1955,3,18
44,1955,4,12
45,1955,5,38
46,1955,6,57
47,1955,7,13
48,1956,1,24
49,1956,2,5
50,1956,3,18
51,1956,4,12
52,1956,5,54
53,1956,6,8
54,1956,7,19
55,1956,8,13
56,1957,1,24
57,1957,2,5
58,1957,3,18
59,1957,4,52
60,1957,5,57
61,1957,6,19
62,1957,7,64
63,1957,8,13
64,1958,1,24
65,1958,2,5
66,1958,3,38
67,1958,4,18
68,1958,5,12
69,1958,6,54
70,1958,7,8
71,1958,8,19
72,1958,9,58
73,1958,10,13
74,1958,11,63
75,1959,1,5
76,1959,2,18
77,1959,3,38
78,1959,4,54
79,1959,5,57
80,1959,6,60
81,1959,7,61
82,1959,8,13
83,1959,9,62
84,1960,1,24
85,1960,2,5
86,1960,3,18
87,1960,4,38
88,1960,5,12
89,1960,6,54
90,1960,7,8
91,1960,8,58
92,1960,9,13
93,1960,10,59
94,1961,1,5
95,1961,2,38
96,1961,3,12
97,1961,4,54
98,1961,5,57
99,1961,6,19
100,1961,7,13
101,1961,8,45
102,1962,1,38
103,1962,2,5
104,1962,3,12
105,1962,4,52
106,1962,5,57
107,1962,6,19
108,1962,7,13
109,1962,8,45
110,1962,9,55
111,1963,1,5
112,1963,2,12
113,1963,3,38
114,1963,4,54
115,1963,5,8
116,1963,6,19
117,1963,7,13
118,1963,8,45
119,1963,9,31
120,1963,10,55
121,1964,1,5
122,1964,2,38
123,1964,3,12
124,1964,4,52
125,1964,5,37
126,1964,6,19
127,1964,7,56
128,1964,8,13
129,1964,9,45
130,1964,10,31
131,1965,1,55
132,1965,2,5
133,1965,3,12
134,1965,4,50
135,1965,5,8
136,1965,6,38
137,1965,7,19
138,1965,8,13
139,1965,9,45
140,1965,10,31
141,1966,1,5
142,1966,2,12
143,1966,3,54
144,1966,4,37
145,1966,5,38
146,1966,6,19
147,1966,7,13
148,1966,8,45
149,1966,9,31
150,1967,1,29
151,1967,2,5
152,1967,3,38
153,1967,4,12
154,1967,5,53
155,1967,6,8
156,1967,7,19
157,1967,8,47
158,1967,9,13
159,1967,10,45
160,1967,11,31
161,1968,1,29
162,1968,2,44
163,1968,3,5
164,1968,4,12
165,1968,5,38
166,1968,6,52
167,1968,7,37
168,1968,8,19
169,1968,9,13
170,1968,10,51
171,1968,11,45
172,1968,12,31
173,1969,1,29
174,1969,2,48
175,1969,3,5
176,1969,4,38
177,1969,5,50
178,1969,6,8
179,1969,7,19
180,1969,8,13
181,1969,9,47
182,1969,10,45
183,1969,11,31
184,1970,1,29
185,1970,2,44
186,1970,3,5
187,1970,4,12
188,1970,5,38
189,1970,6,50
190,1970,7,37
191,1970,8,9
192,1970,9,69
193,1970,10,13
194,1970,11,51
195,1970,12,45
196,1970,13,31
197,1971,1,29
198,1971,2,48
199,1971,3,5
200,1971,4,38
201,1971,5,33
202,1971,6,8
203,1971,7,19
204,1971,8,69
205,1971,9,13
206,1971,10,47
207,1971,11,45
208,1972,1,24
209,1972,2,29
210,1972,3,44
211,1972,4,5
212,1972,5,49
213,1972,6,50
214,1972,7,37
215,1972,8,19
216,1972,9,69
217,1972,10,13
218,1972,11,47
219,1972,12,45
220,1973,1,24
221,1973,2,17
222,1973,3,29
223,1973,4,48
224,1973,5,39
225,1973,6,5
226,1973,7,46
227,1973,8,33
228,1973,9,8
229,1973,10,38
230,1973,11,19
231,1973,12,69
232,1973,13,13
233,1973,14,47
234,1973,15,45
235,1974,1,24
236,1974,2,17
237,1974,3,29
238,1974,4,44
239,1974,5,49
240,1974,6,5
241,1974,7,46
242,1974,8,38
243,1974,9,40
244,1974,10,37
245,1974,11,19
246,1974,12,69
247,1974,13,13
248,1974,14,47
249,1974,15,45
250,1975,1,24
251,1975,2,17
252,1975,3,29
253,1975,4,48
254,1975,5,5
255,1975,6,39
256,1975,7,46
257,1975,8,38
258,1975,9,33
259,1975,10,8
260,1975,11,19
261,1975,12,69
262,1975,13,13
263,1975,14,45
264,1976,1,17
265,1976,2,29
266,1976,3,42
267,1976,4,44
268,1976,5,39
269,1976,6,5
270,1976,7,46
271,1976,8,33
272,1976,9,37
273,1976,10,19
274,1976,11,69
275,1976,12,38
276,1976,13,13
277,1976,14,47
278,1976,15,45
279,1976,16,15
280,1977,1,24
281,1977,2,17
282,1977,3,29
283,1977,4,42
284,1977,5,44
285,1977,6,5
286,1977,7,39
287,1977,8,46
288,1977,9,40
289,1977,10,8
290,1977,11,9
291,1977,12,69
292,1977,13,38
293,1977,14,13
294,1977,15,45
295,1977,16,47
296,1977,17,15
297,1978,1,24
298,1978,2,35
299,1978,3,29
300,1978,4,42
301,1978,5,5
302,1978,6,39
303,1978,7,44
304,1978,8,46
305,1978,9,33
306,1978,10,37
307,1978,11,9
308,1978,12,69
309,1978,13,38
310,1978,14,13
311,1978,15,45
312,1978,16,6
313,1979,1,24
314,1979,2,17
315,1979,3,29
316,1979,4,42
317,1979,5,44
318,1979,6,39
319,1979,7,5
320,1979,8,40
321,1979,9,8
322,1979,10,9
323,1979,11,69
324,1979,12,38
325,1979,13,13
326,1979,14,6
327,1979,15,45
328,1980,1,24
329,1980,2,17
330,1980,3,29
331,1980,4,42
332,1980,5,39
333,1980,6,5
334,1980,7,33
335,1980,8,37
336,1980,9,9
337,1980,10,69
338,1980,11,38
339,1980,12,20
340,1980,13,6
341,1980,14,45
342,1981,1,42
343,1981,2,35
344,1981,3,24
345,1981,4,20
346,1981,5,39
347,1981,6,5
348,1981,7,44
349,1981,8,40
350,1981,9,8
351,1981,10,9
352,1981,11,69
353,1981,12,38
354,1981,13,13
355,1981,14,6
356,1981,15,43
357,1982,1,29
358,1982,2,35
359,1982,3,42
360,1982,4,20
361,1982,5,39
362,1982,6,5
363,1982,7,36
364,1982,8,6
365,1982,9,38
366,1982,10,37
367,1982,11,33
368,1982,12,9
369,1982,13,69
370,1982,14,40
371,1982,15,13
372,1982,16,43
373,1983,1,35
374,1983,2,42
375,1983,3,33
376,1983,4,20
377,1983,5,5
378,1983,6,12
379,1983,7,36
380,1983,8,6
381,1983,9,8
382,1983,10,9
383,1983,11,69
384,1983,12,38
385,1983,13,13
386,1983,14,37
387,1983,15,29
388,1984,1,35
389,1984,2,29
390,1984,3,39
391,1984,4,20
392,1984,5,40
393,1984,6,5
394,1984,7,6
395,1984,8,36
396,1984,9,41
397,1984,10,37
398,1984,11,9
399,1984,12,69
400,1984,13,38
401,1984,14,13
402,1984,15,19
403,1984,16,26
404,1985,1,35
405,1985,2,26
406,1985,3,20
407,1985,4,5
408,1985,5,6
409,1985,6,36
410,1985,7,33
411,1985,8,8
412,1985,9,19
413,1985,10,69
414,1985,11,38
415,1985,12,13
416,1985,13,12
417,1985,14,37
418,1985,15,29
419,1985,16,28
420,1986,1,35
421,1986,2,25
422,1986,3,20
423,1986,4,5
424,1986,5,12
425,1986,6,6
426,1986,7,36
427,1986,8,33
428,1986,9,37
429,1986,10,9
430,1986,11,10
431,1986,12,69
432,1986,13,13
433,1986,14,26
434,1986,15,31
435,1986,16,28
436,1987,1,35
437,1987,2,20
438,1987,3,12
439,1987,4,5
440,1987,5,36
441,1987,6,33
442,1987,7,8
443,1987,8,9
444,1987,9,10
445,1987,10,69
446,1987,11,13
447,1987,12,26
448,1987,13,25
449,1987,14,31
450,1987,15,21
451,1987,16,28
452,1988,1,35
453,1988,2,20
454,1988,3,5
455,1988,4,31
456,1988,5,6
457,1988,6,36
458,1988,7,33
459,1988,8,8
460,1988,9,9
461,1988,10,10
462,1988,11,12
463,1988,12,13
464,1988,13,26
465,1988,14,25
466,1988,15,21
467,1988,16,28
468,1989,1,35
469,1989,2,20
470,1989,3,5
471,1989,4,31
472,1989,5,32
473,1989,6,6
474,1989,7,33
475,1989,8,8
476,1989,9,9
477,1989,10,10
478,1989,11,12
479,1989,12,13
480,1989,13,26
481,1989,14,25
482,1989,15,21
483,1989,16,28
484,1990,1,32
485,1990,2,17
486,1990,3,20
487,1990,4,5
488,1990,5,6
489,1990,6,31
490,1990,7,33
491,1990,8,8
492,1990,9,9
493,1990,10,10
494,1990,11,12
495,1990,12,13
496,1990,13,26
497,1990,14,25
498,1990,15,21
499,1990,16,28
500,1991,1,32
501,1991,2,17
502,1991,3,20
503,1991,4,5
504,1991,5,6
505,1991,6,31
506,1991,7,7
507,1991,8,8
508,1991,9,9
509,1991,10,10
510,1991,11,12
511,1991,12,13
512,1991,13,26
513,1991,14,3
514,1991,15,21
515,1991,16,28
516,1992,1,29
517,1992,2,31
518,1992,3,17
519,1992,4,3
520,1992,5,20
521,1992,6,5
522,1992,7,6
523,1992,8,7
524,1992,9,8
525,1992,10,9
526,1992,11,10
527,1992,12,12
528,1992,13,13
529,1992,14,26
530,1992,15,21
531,1992,16,28
532,1993,1,29
533,1993,2,17
534,1993,3,30
535,1993,4,20
536,1993,5,3
537,1993,6,5
538,1993,7,6
539,1993,8,7
540,1993,9,8
541,1993,10,9
542,1993,11,10
543,1993,12,12
544,1993,13,13
545,1993,14,26
546,1993,15,21
547,1993,16,28
548,1994,1,17
549,1994,2,27
550,1994,3,20
551,1994,4,5
552,1994,5,3
553,1994,6,6
554,1994,7,7
555,1994,8,8
556,1994,9,9
557,1994,10,10
558,1994,11,12
559,1994,12,13
560,1994,13,26
561,1994,14,25
562,1994,15,21
563,1994,16,28
564,1995,1,17
565,1995,2,24
566,1995,3,20
567,1995,4,3
568,1995,5,5
569,1995,6,6
570,1995,7,7
571,1995,8,8
572,1995,9,9
573,1995,10,10
574,1995,11,12
575,1995,12,13
576,1995,13,26
577,1995,14,19
578,1995,15,27
579,1995,16,21
580,1995,17,28
581,1996,1,0
582,1996,2,17
583,1996,3,24
584,1996,4,19
585,1996,5,20
586,1996,6,5
587,1996,7,3
588,1996,8,6
589,1996,9,7
590,1996,10,8
591,1996,11,9
592,1996,12,10
593,1996,13,12
594,1996,14,13
595,1996,15,26
596,1996,16,21
597,1997,1,0
598,1997,2,17
599,1997,3,24
600,1997,4,20
601,1997,5,5
602,1997,6,3
603,1997,7,6
604,1997,8,7
605,1997,9,8
606,1997,10,9
607,1997,11,10
608,1997,12,12
609,1997,13,13
610,1997,14,69
611,1997,15,19
612,1997,16,21
613,1997,17,25
614,1998,1,0
615,1998,2,17
616,1998,3,24
617,1998,4,20
618,1998,5,3
619,1998,6,5
620,1998,7,6
621,1998,8,7
622,1998,9,8
623,1998,10,69
624,1998,11,9
625,1998,12,10
626,1998,13,12
627,1998,14,13
628,1998,15,19
629,1998,16,21
630,1999,1,0
631,1999,2,17
632,1999,3,20
633,1999,4,5
634,1999,5,3
635,1999,6,6
636,1999,7,7
637,1999,8,8
638,1999,9,69
639,1999,10,9
640,1999,11,10
641,1999,12,12
642,1999,13,13
643,1999,14,19
644,1999,15,1
645,1999,16,21
646,2000,1,0
647,2000,2,17
648,2000,3,20
649,2000,4,8
650,2000,5,3
651,2000,6,19
652,2000,7,5
653,2000,8,6
654,2000,9,7
655,2000,10,69
656,2000,11,9
657,2000,12,10
658,2000,13,12
659,2000,14,13
660,2000,15,18
661,2000,16,21
662,2000,17,1
663,2001,1,0
664,2001,2,1
665,2001,3,17
666,2001,4,20
667,2001,5,3
668,2001,6,69
669,2001,7,5
670,2001,8,6
671,2001,9,19
672,2001,10,7
673,2001,11,8
674,2001,12,9
675,2001,13,10
676,2001,14,12
677,2001,15,13
678,2001,16,18
679,2001,17,21
680,2002,1,0
681,2002,2,1
682,2002,3,17
683,2002,4,20
684,2002,5,3
685,2002,6,69
686,2002,7,5
687,2002,8,6
688,2002,9,19
689,2002,10,8
690,2002,11,7
691,2002,12,9
692,2002,13,10
693,2002,14,12
694,2002,15,13
695,2002,16,18
696,2002,17,21
697,2003,1,0
698,2003,2,1
699,2003,3,17
700,2003,4,20
701,2003,5,3
702,2003,6,69
703,2003,7,5
704,2003,8,6
705,2003,9,19
706,2003,10,7
707,2003,11,8
708,2003,12,9
709,2003,13,10
710,2003,14,13
711,2003,15,18
712,2003,16,21
713,2004,1,0
714,2004,2,1
715,2004,3,2
716,2004,4,20
717,2004,5,3
718,2004,6,5
719,2004,7,19
720,2004,8,6
721,2004,9,18
722,2004,10,7
723,2004,11,8
724,2004,12,9
725,2004,13,10
726,2004,14,12
727,2004,15,13
728,2004,16,16
729,2004,17,21
730,2004,18,17
731,2005,1,0
732,2005,2,1
733,2005,3,2
734,2005,4,20
735,2005,5,3
736,2005,6,5
737,2005,7,19
738,2005,8,6
739,2005,9,18
740,2005,10,7
741,2005,11,8
742,2005,12,9
743,2005,13,10
744,2005,14,4
745,2005,15,13
746,2005,16,12
747,2005,17,17
748,2005,18,21
749,2005,19,16
750,2006,1,2
751,2006,2,1
752,2006,3,0
753,2006,4,20
754,2006,5,19
755,2006,6,3
756,2006,7,5
757,2006,8,8
758,2006,9,6
759,2006,10,18
760,2006,11,7
761,2006,12,9
762,2006,13,10
763,2006,14,4
764,2006,15,13
765,2006,16,16
766,2006,17,21
767,2006,18,17
768,2007,1,0
769,2007,2,1
770,2007,3,2
771,2007,4,3
772,2007,5,5
773,2007,6,6
774,2007,7,18
775,2007,8,7
776,2007,9,8
777,2007,10,19
778,2007,11,10
779,2007,12,4
780,2007,13,13
781,2007,14,12
782,2007,15,15
783,2007,16,16
784,2007,17,17
785,2008,1,0
786,2008,2,1
787,2008,3,2
788,2008,4,3
789,2008,5,4
790,2008,6,5
791,2008,7,6
792,2008,8,7
793,2008,9,8
794,2008,10,9
795,2008,11,10
796,2008,12,11
797,2008,13,12
798,2008,14,13
799,2008,15,14
800,2008,16,15
801,2008,17,16
802,2008,18,17
803,2009,1,0
804,2009,2,1
805,2009,3,16
806,2009,4,2
807,2009,5,3
808,2009,6,5
809,2009,7,4
810,2009,8,8
811,2009,9,19
812,2009,10,10
813,2009,11,11
814,2009,12,12
815,2009,13,13
816,2009,14,14
817,2009,15,21
818,2009,16,17
819,2009,17,23
